Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-04-01 00:00:00;1995-09-30 23:59:59;23.0;57.7084;11.9939
1969-07-01 00:00:00;1972-04-30 23:59:59;40.0;57.72;12.02
1972-05-01 00:00:00;1976-10-01 23:59:59;4.0;57.7;11.98
1995-10-01 00:00:00;1998-05-31 23:59:59;5.0;57.708;11.9938
1999-03-01 00:00:00;2019-05-29 05:00:00;3.038;57.715642;11.992377
1961-01-01 00:00:00;1969-05-31 23:59:59;30.0;57.7;11.97

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-01-19 00:00:01;2019-01-20 00:00:00;2019-01-19;-0.6;Y;;Data från senaste fyra månaderna
2019-01-20 00:00:01;2019-01-21 00:00:00;2019-01-20;-1.9;Y;;Tidsperiod (fr.o.m.) = 2019-01-19 00:00:01 (UTC)
2019-01-21 00:00:01;2019-01-22 00:00:00;2019-01-21;1.4;Y;;Tidsperiod (t.o.m.) = 2019-05-29 05:00:00 (UTC)
2019-01-22 00:00:01;2019-01-23 00:00:00;2019-01-22;0.9;Y;;Medelvärdet är beräknat för = 24 timmar
2019-01-23 00:00:01;2019-01-24 00:00:00;2019-01-23;-1.9;Y;;
2019-01-24 00:00:01;2019-01-25 00:00:00;2019-01-24;-2.4;Y;;Kvalitetskoderna:
2019-01-25 00:00:01;2019-01-26 00:00:00;2019-01-25;-2.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2019-01-26 00:00:01;2019-01-27 00:00:00;2019-01-26;-3.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2019-01-27 00:00:01;2019-01-28 00:00:00;2019-01-27;-1.5;Y;;
2019-01-28 00:00:01;2019-01-29 00:00:00;2019-01-28;0.1;Y;;Orsaker till saknade data:
2019-01-29 00:00:01;2019-01-30 00:00:00;2019-01-29;-4.6;Y;;  stationen eller givaren har varit ur funktion.
2019-01-30 00:00:01;2019-01-31 00:00:00;2019-01-30;-2.5;Y
2019-01-31 00:00:01;2019-02-01 00:00:00;2019-01-31;-0.1;Y
2019-02-01 00:00:01;2019-02-02 00:00:00;2019-02-01;0.3;Y
2019-02-02 00:00:01;2019-02-03 00:00:00;2019-02-02;0.7;Y
2019-02-03 00:00:01;2019-02-04 00:00:00;2019-02-03;-1.2;Y
2019-02-04 00:00:01;2019-02-05 00:00:00;2019-02-04;0.5;Y
2019-02-05 00:00:01;2019-02-06 00:00:00;2019-02-05;2.1;Y
2019-02-06 00:00:01;2019-02-07 00:00:00;2019-02-06;1.0;Y
2019-02-07 00:00:01;2019-02-08 00:00:00;2019-02-07;3.4;Y
2019-02-08 00:00:01;2019-02-09 00:00:00;2019-02-08;4.8;Y
2019-02-09 00:00:01;2019-02-10 00:00:00;2019-02-09;5.4;Y
2019-02-10 00:00:01;2019-02-11 00:00:00;2019-02-10;5.0;Y
2019-02-11 00:00:01;2019-02-12 00:00:00;2019-02-11;3.1;Y
2019-02-12 00:00:01;2019-02-13 00:00:00;2019-02-12;1.5;Y
2019-02-13 00:00:01;2019-02-14 00:00:00;2019-02-13;6.3;Y
2019-02-14 00:00:01;2019-02-15 00:00:00;2019-02-14;6.3;Y
2019-02-15 00:00:01;2019-02-16 00:00:00;2019-02-15;3.7;Y
2019-02-16 00:00:01;2019-02-17 00:00:00;2019-02-16;5.8;Y
2019-02-17 00:00:01;2019-02-18 00:00:00;2019-02-17;5.3;Y
2019-02-18 00:00:01;2019-02-19 00:00:00;2019-02-18;7.1;Y
2019-02-19 00:00:01;2019-02-20 00:00:00;2019-02-19;6.0;Y
2019-02-20 00:00:01;2019-02-21 00:00:00;2019-02-20;4.8;Y
2019-02-21 00:00:01;2019-02-22 00:00:00;2019-02-21;4.9;Y
2019-02-22 00:00:01;2019-02-23 00:00:00;2019-02-22;0.9;Y
2019-02-23 00:00:01;2019-02-24 00:00:00;2019-02-23;3.2;Y
2019-02-24 00:00:01;2019-02-25 00:00:00;2019-02-24;4.0;Y
2019-02-25 00:00:01;2019-02-26 00:00:00;2019-02-25;5.2;Y
2019-02-26 00:00:01;2019-02-27 00:00:00;2019-02-26;6.6;Y
2019-02-27 00:00:01;2019-02-28 00:00:00;2019-02-27;6.2;Y
2019-02-28 00:00:01;2019-03-01 00:00:00;2019-02-28;4.5;Y
2019-03-01 00:00:01;2019-03-02 00:00:00;2019-03-01;2.6;Y
2019-03-02 00:00:01;2019-03-03 00:00:00;2019-03-02;2.1;Y
2019-03-03 00:00:01;2019-03-04 00:00:00;2019-03-03;6.5;Y
2019-03-04 00:00:01;2019-03-05 00:00:00;2019-03-04;5.6;Y
2019-03-05 00:00:01;2019-03-06 00:00:00;2019-03-05;1.7;Y
2019-03-06 00:00:01;2019-03-07 00:00:00;2019-03-06;3.8;Y
2019-03-07 00:00:01;2019-03-08 00:00:00;2019-03-07;6.5;Y
2019-03-08 00:00:01;2019-03-09 00:00:00;2019-03-08;4.4;Y
2019-03-09 00:00:01;2019-03-10 00:00:00;2019-03-09;3.8;Y
2019-03-10 00:00:01;2019-03-11 00:00:00;2019-03-10;0.9;Y
2019-03-11 00:00:01;2019-03-12 00:00:00;2019-03-11;-0.5;Y
2019-03-12 00:00:01;2019-03-13 00:00:00;2019-03-12;0.5;Y
2019-03-13 00:00:01;2019-03-14 00:00:00;2019-03-13;3.9;Y
2019-03-14 00:00:01;2019-03-15 00:00:00;2019-03-14;4.5;Y
2019-03-15 00:00:01;2019-03-16 00:00:00;2019-03-15;4.2;Y
2019-03-16 00:00:01;2019-03-17 00:00:00;2019-03-16;5.4;Y
2019-03-17 00:00:01;2019-03-18 00:00:00;2019-03-17;5.9;Y
2019-03-18 00:00:01;2019-03-19 00:00:00;2019-03-18;4.5;Y
2019-03-19 00:00:01;2019-03-20 00:00:00;2019-03-19;3.4;Y
2019-03-20 00:00:01;2019-03-21 00:00:00;2019-03-20;6.9;Y
2019-03-21 00:00:01;2019-03-22 00:00:00;2019-03-21;8.1;Y
2019-03-22 00:00:01;2019-03-23 00:00:00;2019-03-22;5.4;Y
2019-03-23 00:00:01;2019-03-24 00:00:00;2019-03-23;7.4;Y
2019-03-24 00:00:01;2019-03-25 00:00:00;2019-03-24;5.9;Y
2019-03-25 00:00:01;2019-03-26 00:00:00;2019-03-25;5.7;Y
2019-03-26 00:00:01;2019-03-27 00:00:00;2019-03-26;5.5;Y
2019-03-27 00:00:01;2019-03-28 00:00:00;2019-03-27;8.5;Y
2019-03-28 00:00:01;2019-03-29 00:00:00;2019-03-28;8.6;Y
2019-03-29 00:00:01;2019-03-30 00:00:00;2019-03-29;8.9;Y
2019-03-30 00:00:01;2019-03-31 00:00:00;2019-03-30;7.2;Y
2019-03-31 00:00:01;2019-04-01 00:00:00;2019-03-31;5.9;Y
2019-04-01 00:00:01;2019-04-02 00:00:00;2019-04-01;3.4;Y
2019-04-02 00:00:01;2019-04-03 00:00:00;2019-04-02;6.9;Y
2019-04-03 00:00:01;2019-04-04 00:00:00;2019-04-03;10.4;Y
2019-04-04 00:00:01;2019-04-05 00:00:00;2019-04-04;12.8;Y
2019-04-05 00:00:01;2019-04-06 00:00:00;2019-04-05;12.1;Y
2019-04-06 00:00:01;2019-04-07 00:00:00;2019-04-06;10.7;Y
2019-04-07 00:00:01;2019-04-08 00:00:00;2019-04-07;9.7;Y
2019-04-08 00:00:01;2019-04-09 00:00:00;2019-04-08;6.2;Y
2019-04-09 00:00:01;2019-04-10 00:00:00;2019-04-09;3.5;Y
2019-04-10 00:00:01;2019-04-11 00:00:00;2019-04-10;2.2;Y
2019-04-11 00:00:01;2019-04-12 00:00:00;2019-04-11;2.2;Y
2019-04-12 00:00:01;2019-04-13 00:00:00;2019-04-12;3.8;Y
2019-04-13 00:00:01;2019-04-14 00:00:00;2019-04-13;4.7;Y
2019-04-14 00:00:01;2019-04-15 00:00:00;2019-04-14;5.9;Y
2019-04-15 00:00:01;2019-04-16 00:00:00;2019-04-15;6.2;Y
2019-04-16 00:00:01;2019-04-17 00:00:00;2019-04-16;7.6;Y
2019-04-17 00:00:01;2019-04-18 00:00:00;2019-04-17;9.5;Y
2019-05-08 00:00:01;2019-05-09 00:00:00;2019-05-08;8.0;Y
2019-05-09 00:00:01;2019-05-10 00:00:00;2019-05-09;8.8;Y
2019-05-10 00:00:01;2019-05-11 00:00:00;2019-05-10;10.9;Y
2019-05-11 00:00:01;2019-05-12 00:00:00;2019-05-11;10.3;Y
2019-05-12 00:00:01;2019-05-13 00:00:00;2019-05-12;8.3;Y
2019-05-13 00:00:01;2019-05-14 00:00:00;2019-05-13;9.1;Y
2019-05-14 00:00:01;2019-05-15 00:00:00;2019-05-14;9.5;Y
2019-05-15 00:00:01;2019-05-16 00:00:00;2019-05-15;11.5;Y
2019-05-16 00:00:01;2019-05-17 00:00:00;2019-05-16;15.1;Y
2019-05-17 00:00:01;2019-05-18 00:00:00;2019-05-17;13.1;Y
2019-05-18 00:00:01;2019-05-19 00:00:00;2019-05-18;14.7;Y
2019-05-25 00:00:01;2019-05-26 00:00:00;2019-05-25;13.1;Y
2019-05-26 00:00:01;2019-05-27 00:00:00;2019-05-26;12.4;Y
2019-05-27 00:00:01;2019-05-28 00:00:00;2019-05-27;10.7;Y
2019-05-28 00:00:01;2019-05-29 00:00:00;2019-05-28;10.8;Y
